policy,K,N,two_rooms,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
never_ask,3,7,True,0,1,True,8,0,2.0,8.0
never_ask,3,7,True,0,2,True,3,0,0.0,3.0
never_ask,3,7,True,0,3,True,8,0,5.0,8.0
never_ask,3,7,True,0,4,True,7,0,2.0,7.0
never_ask,3,7,True,0,5,False,11,0,5.0,11.0
never_ask,3,7,True,0,6,True,9,0,2.0,9.0
never_ask,3,7,True,0,7,True,10,0,3.0,10.0
never_ask,3,7,True,0,8,True,9,0,2.0,9.0
never_ask,3,7,True,0,9,True,11,0,2.0,11.0
never_ask,3,7,True,0,10,True,7,0,3.0,7.0
never_ask,3,7,True,0,11,True,4,0,0.0,4.0
never_ask,3,7,True,0,12,True,8,0,2.0,8.0
never_ask,3,7,True,0,13,True,3,0,0.0,3.0
never_ask,3,7,True,0,14,True,3,0,0.0,3.0
never_ask,3,7,True,0,15,False,9,0,5.0,9.0
never_ask,3,7,True,0,16,True,9,0,4.0,9.0
never_ask,3,7,True,0,17,True,6,0,0.0,6.0
never_ask,3,7,True,0,18,True,2,0,0.0,2.0
never_ask,3,7,True,0,19,False,7,0,5.0,7.0
never_ask,3,7,True,1,0,True,6,0,2.0,6.0
never_ask,3,7,True,1,1,True,6,0,1.0,6.0
never_ask,3,7,True,1,2,True,10,0,2.0,10.0
never_ask,3,7,True,1,3,True,11,0,3.0,11.0
never_ask,3,7,True,1,4,True,6,0,0.0,6.0
never_ask,3,7,True,1,5,True,2,0,0.0,2.0
never_ask,3,7,True,1,6,True,3,0,0.0,3.0
never_ask,3,7,True,1,7,True,8,0,1.0,8.0
never_ask,3,7,True,1,8,True,7,0,2.0,7.0
never_ask,3,7,True,1,9,True,9,0,5.0,9.0
never_ask,3,7,True,1,10,False,8,0,5.0,8.0
never_ask,3,7,True,1,11,False,10,0,5.0,10.0
never_ask,3,7,True,1,12,True,5,0,2.0,5.0
never_ask,3,7,True,1,13,True,10,0,5.0,10.0
never_ask,3,7,True,1,14,True,5,0,0.0,5.0
never_ask,3,7,True,1,15,True,9,0,2.0,9.0
never_ask,3,7,True,1,16,True,6,0,0.0,6.0
never_ask,3,7,True,1,17,True,4,0,1.0,4.0
never_ask,3,7,True,1,18,True,8,0,2.0,8.0
never_ask,3,7,True,1,19,True,4,0,0.0,4.0
never_ask,3,7,True,2,0,True,8,0,5.0,8.0
never_ask,3,7,True,2,1,False,11,0,5.0,11.0
never_ask,3,7,True,2,2,True,6,0,1.0,6.0
never_ask,3,7,True,2,3,True,4,0,0.0,4.0
never_ask,3,7,True,2,4,True,3,0,0.0,3.0
