policy,K,beta,rep_seed,episode_id,success,steps,questions_asked,team_cost
passive_aware_ask,3,2.0,0,16,True,15,3,16.5
passive_aware_ask,3,2.0,0,17,True,7,1,7.5
passive_aware_ask,3,2.0,0,18,True,11,3,12.5
passive_aware_ask,3,2.0,0,19,True,12,3,13.5
passive_aware_ask,3,2.0,1,0,True,5,1,5.5
passive_aware_ask,3,2.0,1,1,True,14,3,15.5
passive_aware_ask,3,2.0,1,2,True,8,0,8.0
passive_aware_ask,3,2.0,1,3,True,7,3,8.5
passive_aware_ask,3,2.0,1,4,True,11,1,11.5
passive_aware_ask,3,2.0,1,5,True,10,0,10.0
passive_aware_ask,3,2.0,1,6,True,10,0,10.0
passive_aware_ask,3,2.0,1,7,True,3,1,3.5
passive_aware_ask,3,2.0,1,8,True,11,1,11.5
passive_aware_ask,3,2.0,1,9,True,9,1,9.5
passive_aware_ask,3,2.0,1,10,True,8,0,8.0
passive_aware_ask,3,2.0,1,11,True,15,3,16.5
passive_aware_ask,3,2.0,1,12,True,8,1,8.5
passive_aware_ask,3,2.0,1,13,True,14,0,14.0
passive_aware_ask,3,2.0,1,14,True,6,3,7.5
passive_aware_ask,3,2.0,1,15,True,6,0,6.0
passive_aware_ask,3,2.0,1,16,True,5,1,5.5
passive_aware_ask,3,2.0,1,17,True,4,1,4.5
passive_aware_ask,3,2.0,1,18,True,8,0,8.0
passive_aware_ask,3,2.0,1,19,True,5,1,5.5
passive_aware_ask,3,2.0,2,0,True,8,3,9.5
passive_aware_ask,3,2.0,2,1,True,10,3,11.5
passive_aware_ask,3,2.0,2,2,True,6,1,6.5
passive_aware_ask,3,2.0,2,3,True,8,1,8.5
passive_aware_ask,3,2.0,2,4,False,15,1,15.5
passive_aware_ask,3,2.0,2,5,False,12,3,13.5
passive_aware_ask,3,2.0,2,6,True,10,0,10.0
passive_aware_ask,3,2.0,2,7,True,12,3,13.5
passive_aware_ask,3,2.0,2,8,True,9,1,9.5
passive_aware_ask,3,2.0,2,9,True,9,1,9.5
passive_aware_ask,3,2.0,2,10,True,10,3,11.5
passive_aware_ask,3,2.0,2,11,True,9,3,10.5
passive_aware_ask,3,2.0,2,12,True,7,3,8.5
passive_aware_ask,3,2.0,2,13,True,5,1,5.5
passive_aware_ask,3,2.0,2,14,True,8,1,8.5
passive_aware_ask,3,2.0,2,15,True,7,1,7.5
passive_aware_ask,3,2.0,2,16,True,7,1,7.5
passive_aware_ask,3,2.0,2,17,True,12,3,13.5
passive_aware_ask,3,2.0,2,18,True,9,0,9.0
passive_aware_ask,3,2.0,2,19,True,3,1,3.5
passive_aware_ask,3,2.0,3,0,True,6,3,7.5
