policy,K,beta,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
never_ask,3,0.5,0,2,True,3,0,0.0,3.0
never_ask,3,0.5,0,3,True,8,0,0.0,8.0
never_ask,3,0.5,0,4,True,9,0,0.0,9.0
never_ask,3,0.5,0,5,True,6,0,2.0,6.0
never_ask,3,0.5,0,6,True,15,0,3.0,15.0
never_ask,3,0.5,0,7,False,9,0,5.0,9.0
never_ask,3,0.5,0,8,True,9,0,2.0,9.0
never_ask,3,0.5,0,9,True,6,0,1.0,6.0
never_ask,3,0.5,0,10,False,12,0,5.0,12.0
never_ask,3,0.5,0,11,False,14,0,5.0,14.0
never_ask,3,0.5,0,12,True,12,0,1.0,12.0
never_ask,3,0.5,0,13,True,6,0,0.0,6.0
never_ask,3,0.5,0,14,False,9,0,5.0,9.0
never_ask,3,0.5,0,15,True,10,0,3.0,10.0
never_ask,3,0.5,0,16,False,13,0,5.0,13.0
never_ask,3,0.5,0,17,True,8,0,1.0,8.0
never_ask,3,0.5,0,18,True,5,0,0.0,5.0
never_ask,3,0.5,0,19,False,14,0,5.0,14.0
never_ask,3,0.5,1,0,True,2,0,0.0,2.0
never_ask,3,0.5,1,1,True,13,0,4.0,13.0
never_ask,3,0.5,1,2,False,8,0,5.0,8.0
never_ask,3,0.5,1,3,False,7,0,5.0,7.0
never_ask,3,0.5,1,4,False,17,0,5.0,17.0
never_ask,3,0.5,1,5,True,2,0,0.0,2.0
never_ask,3,0.5,1,6,False,14,0,5.0,14.0
never_ask,3,0.5,1,7,True,5,0,0.0,5.0
never_ask,3,0.5,1,8,True,8,0,5.0,8.0
never_ask,3,0.5,1,9,True,15,0,4.0,15.0
never_ask,3,0.5,1,10,True,9,0,3.0,9.0
never_ask,3,0.5,1,11,True,8,0,2.0,8.0
never_ask,3,0.5,1,12,True,11,0,1.0,11.0
never_ask,3,0.5,1,13,True,10,0,4.0,10.0
never_ask,3,0.5,1,14,True,4,0,1.0,4.0
never_ask,3,0.5,1,15,False,12,0,5.0,12.0
never_ask,3,0.5,1,16,False,8,0,5.0,8.0
never_ask,3,0.5,1,17,True,7,0,0.0,7.0
never_ask,3,0.5,1,18,False,13,0,5.0,13.0
never_ask,3,0.5,1,19,True,12,0,2.0,12.0
never_ask,3,0.5,2,0,True,11,0,1.0,11.0
never_ask,3,0.5,2,1,True,3,0,0.0,3.0
never_ask,3,0.5,2,2,True,8,0,1.0,8.0
never_ask,3,0.5,2,3,True,10,0,4.0,10.0
never_ask,3,0.5,2,4,True,2,0,0.0,2.0
never_ask,3,0.5,2,5,True,6,0,0.0,6.0
never_ask,3,0.5,2,6,False,7,0,5.0,7.0
never_ask,3,0.5,2,7,True,13,0,3.0,13.0
never_ask,3,0.5,2,8,True,2,0,0.0,2.0
never_ask,3,0.5,2,9,False,10,0,5.0,10.0
never_ask,3,0.5,2,10,True,11,0,1.0,11.0
never_ask,3,0.5,2,11,False,15,0,5.0,15.0
never_ask,3,0.5,2,12,False,8,0,5.0,8.0
never_ask,3,0.5,2,13,False,8,0,5.0,8.0
never_ask,3,0.5,2,14,True,2,0,0.0,2.0
never_ask,3,0.5,2,15,False,10,0,5.0,10.0
never_ask,3,0.5,2,16,False,8,0,5.0,8.0
never_ask,3,0.5,2,17,True,16,0,5.0,16.0
never_ask,3,0.5,2,18,False,13,0,5.0,13.0
never_ask,3,0.5,2,19,True,14,0,3.0,14.0
never_ask,3,0.5,3,0,True,9,0,0.0,9.0
never_ask,3,0.5,3,1,True,10,0,3.0,10.0
never_ask,3,0.5,3,2,False,13,0,5.0,13.0
never_ask,3,0.5,3,3,True,9,0,0.0,9.0
never_ask,3,0.5,3,4,False,14,0,5.0,14.0
never_ask,3,0.5,3,5,False,14,0,5.0,14.0
never_ask,3,0.5,3,6,True,12,0,3.0,12.0
never_ask,3,0.5,3,7,True,3,0,0.0,3.0
never_ask,3,0.5,3,8,True,6,0,0.0,6.0
never_ask,3,0.5,3,9,False,10,0,5.0,10.0
never_ask,3,0.5,3,10,True,12,0,2.0,12.0
never_ask,3,0.5,3,11,True,4,0,0.0,4.0
never_ask,3,0.5,3,12,False,12,0,5.0,12.0
never_ask,3,0.5,3,13,True,6,0,2.0,6.0
never_ask,3,0.5,3,14,True,5,0,0.0,5.0
never_ask,3,0.5,3,15,False,9,0,5.0,9.0
never_ask,3,0.5,3,16,True,11,0,1.0,11.0
never_ask,3,0.5,3,17,False,11,0,5.0,11.0
never_ask,3,0.5,3,18,False,9,0,5.0,9.0
never_ask,3,0.5,3,19,False,14,0,5.0,14.0
never_ask,3,0.5,4,0,False,7,0,5.0,7.0
never_ask,3,0.5,4,1,True,5,0,0.0,5.0
never_ask,3,0.5,4,2,True,10,0,2.0,10.0
never_ask,3,0.5,4,3,True,10,0,3.0,10.0
never_ask,3,0.5,4,4,False,12,0,5.0,12.0
never_ask,3,0.5,4,5,False,15,0,5.0,15.0
never_ask,3,0.5,4,6,True,6,0,0.0,6.0
never_ask,3,0.5,4,7,True,3,0,0.0,3.0
never_ask,3,0.5,4,8,True,14,0,4.0,14.0
never_ask,3,0.5,4,9,True,5,0,2.0,5.0
never_ask,3,0.5,4,10,False,8,0,5.0,8.0
never_ask,3,0.5,4,11,False,11,0,5.0,11.0
never_ask,3,0.5,4,12,False,16,0,5.0,16.0
never_ask,3,0.5,4,13,True,13,0,5.0,13.0
never_ask,3,0.5,4,14,True,13,0,3.0,13.0
never_ask,3,0.5,4,15,False,10,0,5.0,10.0
never_ask,3,0.5,4,16,True,7,0,1.0,7.0
never_ask,3,0.5,4,17,True,5,0,0.0,5.0
never_ask,3,0.5,4,18,True,7,0,4.0,7.0
never_ask,3,0.5,4,19,False,15,0,5.0,15.0
info_gain_ask,3,0.5,0,0,True,9,1,1.5,9.5
info_gain_ask,3,0.5,0,1,True,9,2,4.0,10.0
info_gain_ask,3,0.5,0,2,False,8,2,6.0,9.0
info_gain_ask,3,0.5,0,3,True,9,1,1.5,9.5
info_gain_ask,3,0.5,0,4,False,14,2,6.0,15.0
info_gain_ask,3,0.5,0,5,True,5,1,1.5,5.5
info_gain_ask,3,0.5,0,6,True,16,2,5.0,17.0
info_gain_ask,3,0.5,0,7,False,9,2,6.0,10.0
info_gain_ask,3,0.5,0,8,True,8,1,1.5,8.5
info_gain_ask,3,0.5,0,9,False,10,1,5.5,10.5
info_gain_ask,3,0.5,0,10,True,9,1,2.5,9.5
info_gain_ask,3,0.5,0,11,True,12,2,4.0,13.0
info_gain_ask,3,0.5,0,12,True,13,1,2.5,13.5
info_gain_ask,3,0.5,0,13,True,7,1,1.5,7.5
info_gain_ask,3,0.5,0,14,False,9,1,5.5,9.5
info_gain_ask,3,0.5,0,15,True,8,1,1.5,8.5
info_gain_ask,3,0.5,0,16,True,10,1,2.5,10.5
info_gain_ask,3,0.5,0,17,True,9,1,2.5,9.5
info_gain_ask,3,0.5,0,18,True,7,2,3.0,8.0
